Assignee,Closed,Opened,Opener,Spendtime,Summary,Type
,2015/03/21 15:41:12,2015/03/21 08:49:37,vinodkc,24695,IOException: Filesystem closed  is thrown while existing spark-sql console,Bug
marmbrus,2015/03/24 19:10:49,2015/03/20 20:59:46,yhuai,79863,SQL ExternalSort should use CompletionIterator to clean up temp files,Bug
,2015/03/23 15:01:15,2015/03/20 14:34:35,tgraves,1600,io/netty missing from external shuffle service jars for yarn,Bug
,2015/03/20 14:20:21,2015/03/20 13:56:00,cody@koeninger.org,1461,[Streaming][Kafka] CreateDirectStream for empty topics,Bug
marmbrus,2015/03/26 00:18:47,2015/03/20 08:32:17,zzcclp,56790,Cannot resolve column correctlly when using left semi join,Bug
,2015/03/20 06:59:44,2015/03/20 06:54:00,marsishandsome,344,spark-sql does not throw error if running in yarn-cluster mode,Bug
WangTaoTheTonic,2015/03/20 18:42:47,2015/03/20 06:52:27,WangTaoTheTonic,42620,User could also point the yarn cluster config directory via YARN_CONF_DIR,Improvement
jongyoul,2015/03/20 19:56:50,2015/03/20 02:04:11,jongyoul,64359,MemoryUtils should use memoryOverhead if it's set,Improvement
lewuathe,2015/03/20 21:18:59,2015/03/19 23:08:51,josephkb,79808,_regression_train_wrapper does not test initialWeights correctly,Bug
,2015/03/19 10:40:08,2015/03/19 09:45:32,smolav,3276,Build error on Windows: polymorphic expression cannot be instantiated to expected type,Bug
DoingDone9,2015/03/25 18:12:12,2015/03/19 09:07:50,DoingDone9,32662,"It is not necessary that avoid old inteface of hive, because this will make some UDAF can not work.",Bug
,2015/03/22 09:18:12,2015/03/19 07:45:37,pllee,5555,JDBCRDD fails on where clause with string literal,Bug
,2015/03/20 17:28:37,2015/03/18 20:57:36,heavenstar@gmail.com,73861,Call broadcast() in each interval for spark streaming programs.,Improvement
pborck,2015/03/19 12:03:27,2015/03/18 16:21:36,pborck,70911,EC2 script and job scheduling documentation still refer to Shark,Documentation
,2015/03/20 12:19:57,2015/03/18 14:27:55,opuertas,78722,It would be great if you could share your test jars in Maven central repository for the Spark SQL module,Wish
waterman,2015/03/23 10:28:22,2015/03/18 10:10:21,waterman,1081,Exclude virtual columns from QueryPlan.missingInput,Improvement
,2015/03/20 01:26:47,2015/03/18 07:43:20,smacat,63807,Rebuild the schema from a GenericRow,Task
cloud_fan,2015/03/19 02:43:34,2015/03/18 04:10:50,cloud_fan,81164,cleanup BlockManager companion object and improve the getCacheLocs method in DAGScheduler,Improvement
stevel@apache.org,2015/03/18 13:11:11,2015/03/17 14:18:55,stevel@apache.org,82336,YARN app diagnostics report doesn't report NPEs,Bug
,2015/03/18 11:21:32,2015/03/17 13:56:12,yisuf@flurred.com,77120,Spark 1.3 + Hadoop 2.6 Can't work on Java 8_40,Bug
,2015/03/19 09:03:01,2015/03/17 10:52:22,zhangyouhua,79839,add association rule mining algorithm to MLLib,New Feature
tijoparacka,2015/03/24 10:26:06,2015/03/17 09:40:00,Tijo Paracka,2766,Few examples on Dataframe operation give compiler errors ,Bug
,2015/03/17 11:17:13,2015/03/17 09:16:38,zhangyouhua,7235,add Apriori algorithm to MLLib,New Feature
marmbrus,2015/03/24 21:09:55,2015/03/17 03:23:29,marmbrus,63986,Subqueries are thrown away too early in dataframes,Bug
marmbrus,2015/03/24 20:23:30,2015/03/17 03:18:03,marmbrus,61527,Bad formatting in analysis errors,Bug
yuhaoyan,2015/03/18 17:44:57,2015/03/17 02:54:17,yuhaoyan,53440,Add getter for GeneralizedLinearAlgorithm,Improvement
vanzin,2015/03/18 13:07:37,2015/03/17 02:26:00,vanzin,38497,"""spark-submit --conf"" is not being propagated to child processes",Bug
vanzin,2015/03/20 18:44:36,2015/03/17 01:52:46,vanzin,60710,Update version to 1.4.0-SNAPSHOT,Task
mbonaci,2015/03/20 18:36:30,2015/03/17 00:11:53,mbonaci,66277,Improve documentation of RDD.sample() fraction's effect,Documentation
yhuai,2015/03/18 01:42:14,2015/03/16 21:33:13,yhuai,14941,"In Python API, the default save mode for save and saveAsTable should be ""error"" instead of ""append"".",Bug
irashid,2015/03/17 17:04:31,2015/03/16 20:54:09,irashid,72622,jetty-security needed for SPARK_PREPEND_CLASSES to work,Bug
mengxr,2015/03/24 19:08:33,2015/03/16 17:19:12,mengxr,6561,Support adding a column with metadata in DataFrames,Improvement
,2015/03/17 18:47:34,2015/03/16 15:31:18,dustin.davidson,11776,Spark-submit error when using PYSPARK_PYTHON enviromnental variable,Bug
,2015/03/16 11:21:43,2015/03/16 09:39:45,huangjs,6118,Handling fatal errors of executors and decommission datanodes,Improvement
vlyubin,2015/03/16 19:19:18,2015/03/16 07:45:35,pllee,41623,ParquetRelation2 does not support paths for different file systems,Bug
,2015/03/16 11:48:03,2015/03/16 05:29:28,Amith,22715,Spark-sql,Bug
,2015/03/15 21:25:32,2015/03/15 21:04:41,gphillips,1251,Pyspark local stalls when take() before count() on cached rdd,Bug
,2015/03/17 00:47:26,2015/03/15 04:20:11,kian.ho,73635,mllib.IDF for LabelPoints,Improvement
srowen,2015/03/20 14:16:33,2015/03/14 21:23:01,srowen,60812,Use standard temp dir mechanisms in tests to avoid orphaned temp files,Improvement
vinodkc,2015/03/22 20:01:02,2015/03/14 17:57:20,josephkb,7422,Spark 1.3 doc fixes,Bug
lewuathe,2015/03/17 19:12:39,2015/03/14 17:24:20,josephkb,6499,LBFGS should document what convergenceTol means,Documentation
,2015/03/22 15:59:54,2015/03/14 15:20:49,mbonaci,2345,REPL :reset command also removes refs to SparkContext and SQLContext,Improvement
,2015/03/24 03:28:14,2015/03/14 10:22:00,antonymayi,61574,spark-local dir not getting cleared during ALS,Bug
tdas,2015/03/17 12:32:29,2015/03/13 21:56:03,tdas,52586,New Spark Master URL is not picked up when streaming context is started from checkpoint,Bug
vlyubin,2015/03/23 02:31:03,2015/03/13 21:52:07,vlyubin,16736,newParquetRelation gets incorrect FileSystem,Bug
boyork,2015/03/14 17:30:37,2015/03/13 21:44:00,boyork,71197,Minor doc changes for Mesos and TOC,Bug
davies,2015/03/16 23:27:14,2015/03/13 20:12:20,davies,11694,Run PySpark with python directly is broken,Bug
,2015/03/26 00:52:31,2015/03/13 18:33:21,viirya,22750,Improve castStruct to be faster,Improvement
vanzin,2015/03/18 13:19:04,2015/03/13 18:03:17,vanzin,69347,YarnAllocator crash with dynamic allocation on,Bug
,2015/03/16 05:24:36,2015/03/13 12:05:33,Amith,62343,Hive on spark,Bug
vinodkc,2015/03/13 23:42:45,2015/03/13 12:02:44,vinodkc,42001,Interactive HIVE scala console is not starting,Bug
,2015/03/16 12:55:10,2015/03/13 07:28:23,yunzhi,19607,"add a parameter for  SparkContext(conf).textFile() method , support for multi-language  hdfs file ,   e.g. ""gbk""",New Feature
lian cheng,2015/03/21 03:20:18,2015/03/13 06:40:08,marmbrus,74410,SparkSQL 1.3.0 (RC3) fails to read parquet file generated by 1.1.1,Bug
,2015/03/13 13:10:14,2015/03/13 06:21:38,zzcclp,24516,Failed to load application log data from FileStatus,Bug
nemccarthy,2015/03/17 16:35:53,2015/03/13 04:17:31,nemccarthy,44302,Fetch File Lock file creation doesnt work when Spark working dir is on a NFS mount,Bug
,2015/03/13 04:03:24,2015/03/13 01:19:21,josephkb,9843,ChiSqTest should check for too few counts,Improvement
,2015/03/13 04:03:16,2015/03/13 01:17:25,josephkb,9951,ChiSqTest should check for too few counts,Improvement
MechCoder,2015/03/20 21:13:57,2015/03/13 01:02:56,mengxr,72661,Add MatrixUDT to support dense/sparse matrices in DataFrames,New Feature
MechCoder,2015/03/23 20:30:34,2015/03/13 01:00:04,mengxr,70230,VectorUDT is displayed as `vecto` in dtypes,Bug
,2015/03/12 15:50:14,2015/03/12 13:47:47,tvas,7347,Readme points to dead link,Bug
,2015/03/16 11:18:40,2015/03/12 08:44:47,rajupats91,9233,Unable to load external jars while submitting Spark Job,Bug
DoingDone9,2015/03/16 12:27:44,2015/03/12 07:23:01,DoingDone9,18283,sc.addFile(path) does not support the relative path.,Bug
swkimme,2015/03/17 06:50:10,2015/03/12 04:59:01,swkimme,6669,ClassNotFoundException in standalone mode when running groupByKey with class defined in REPL.,Bug
,2015/03/24 10:06:40,2015/03/12 01:01:53,lustefaniak,32687,EventLog permissions are always set to 770 which causes problems,Bug
vlyubin,2015/03/12 07:59:22,2015/03/12 00:49:18,vlyubin,25804,Add equals operator to Column (v1.3),Improvement
davies,2015/03/15 21:25:32,2015/03/11 23:59:19,davies,77173,PySpark task may hang while call take() on in Java/Scala,Bug
yanboliang,2015/03/19 15:12:12,2015/03/11 23:22:42,josephkb,56970,GLM toString should not output full weight vector,Improvement
dragos,2015/03/19 09:14:59,2015/03/11 17:17:57,dragos,57422,Handle TASK_ERROR in TaskState,Bug
lian cheng,2015/03/15 12:45:07,2015/03/11 16:57:37,dragos,71250,Duplicated code leads to errors,Bug
zzcclp,2015/03/13 06:34:17,2015/03/11 08:15:18,zzcclp,80339,"Miss expressions flag ""s"" at logging string ",Bug
mengxr,2015/03/13 17:27:58,2015/03/11 07:38:48,mengxr,35350,Mention the change of step size in the migration guide,Documentation
,2015/03/21 21:52:42,2015/03/11 07:29:58,sunilyadavsky,51764,beeline client class cast exception on partitioned table Spark SQL,Bug
zzcclp,2015/03/13 18:45:27,2015/03/11 05:49:58,zzcclp,46529,Miss toDF() function in docs/sql-programming-guide.md ,Documentation
tdas,2015/03/11 18:20:54,2015/03/11 05:21:26,tdas,46768,Add streaming examples showing integration with DataFrames and SQL,Improvement
,2015/03/11 03:05:27,2015/03/11 03:01:20,DoingDone9,247,Sort these tokens in alphabetic order to avoid further duplicate in HiveQl,Improvement
,2015/03/26 01:42:17,2015/03/11 02:59:12,DoingDone9,81785,Sort these tokens in alphabetic order to avoid further duplicate in HiveQl,Improvement
mccheah,2015/03/17 11:20:59,2015/03/11 00:17:39,mcheah,39800,Using a different implementation of java array reflection for size estimation,Improvement
yuhaoyan,2015/03/12 22:17:58,2015/03/10 23:11:25,josephkb,83193,KMeans parameter getter methods,New Feature
yanboliang,2015/03/25 20:47:18,2015/03/10 22:39:38,josephkb,79660,Python MLlib API missing items: Regression,Sub-task
josephkb,2015/03/13 17:26:19,2015/03/10 22:12:29,josephkb,69230,Scala NaiveBayes should expose getLambda,Improvement
yhuai,2015/03/21 20:28:17,2015/03/10 21:42:41,marmbrus,81936,Types are now reserved words in DDL parser.,Bug
marmbrus,2015/03/20 22:58:08,2015/03/10 17:20:25,yhuai,20263,LocalRelation needs to implement statistics,Bug
marmbrus,2015/03/20 23:00:03,2015/03/10 17:12:45,yhuai,20838,Certain self joins cannot be analyzed,Bug
srowen,2015/03/16 19:07:36,2015/03/10 13:42:56,farrellee,19480,jsonRDD() of empty RDD results in exception,Bug
,2015/03/10 13:39:13,2015/03/10 07:01:35,cnstar9988,23858,Spark MLlib fpm#FPGrowth genFreqItems use Array[Item] may outOfMemory for Large Sets,Improvement
,2015/03/10 12:54:07,2015/03/10 06:50:06,cnstar9988,21841,Spark MLlib fpm#FPGrowth minSupport should use long instead,Improvement
,2015/03/11 00:35:34,2015/03/09 22:02:16,nravi,9198,10% Performance regression with Breeze upgrade,Bug
,2015/03/10 21:04:56,2015/03/09 18:39:16,minisaw,8740,Spark Streaming: simple application stalls processing,Bug
vanzin,2015/03/16 22:10:36,2015/03/09 17:30:46,vanzin,16790,Move SASL support into network/common module,Sub-task
yinxusen,2015/03/17 19:14:49,2015/03/09 15:30:39,josephkb,13450,Support model save/load in Python's KMeans,Sub-task
srowen,2015/03/11 13:15:50,2015/03/09 13:47:43,srowen,84487,"Resolve most build warnings, 1.3.0 edition",Improvement
,2015/03/09 14:10:55,2015/03/09 13:00:30,viirya,4225,Also collect NamedExpressions in PhysicalOperation,Improvement
,2015/03/09 15:07:04,2015/03/09 11:31:34,vinodkc,12930,Avoid Build warning- enable implicit value scala.language.existentials visible,Improvement
,2015/03/19 06:17:19,2015/03/09 08:46:10,hshreedharan,77469,[STREAMING] All data may not be recovered from WAL when driver is killed,Bug
nchammas,2015/03/19 19:46:37,2015/03/09 01:06:04,nchammas,67233,Expand Python lint checks to check for  compilation errors,Improvement
,2015/03/23 18:53:04,2015/03/07 04:34:06,cnstar9988,51538,sql.catalyst.expressions.Expression is not friendly to java,Improvement
davies,2015/03/21 21:56:46,2015/03/06 23:39:53,davies,80213,Generated column name should not include id of column in it.,Bug
,2015/03/11 17:38:48,2015/03/06 20:19:14,Joe6521,76774,spark-ec2 script reporting SSL error?,Bug
srowen,2015/03/08 14:09:53,2015/03/06 16:29:49,srowen,78004,UISeleniumSuite fails for Hadoop 2.x test with NoClassDefFoundError,Bug
,2015/03/18 01:23:24,2015/03/06 10:24:14,viirya,53950,GenerateProjection's equals should check length equality,Bug
,2015/03/06 09:50:14,2015/03/06 09:02:47,q79969786,2847,Configured Checkpointing cause applications start error,Bug
,2015/03/26 01:43:39,2015/03/06 08:34:30,adrian-wang,61749,Test framework should support variable substitution,Improvement
,2015/03/23 19:26:29,2015/03/06 07:59:37,haiyang,41212,Support dialect in SQL,Improvement
liyezhang556520,2015/03/13 14:01:43,2015/03/06 03:10:27,liyezhang556520,39076,handle json parse exception for eventlog file not finished writing ,Bug
lian cheng,2015/03/21 22:18:39,2015/03/06 02:03:05,lian cheng,72934,Specialized in-memory column type for fixed-precision decimal,Improvement
nchammas,2015/03/08 14:02:09,2015/03/06 00:35:30,nchammas,48399,Speed up how spark-ec2 searches for clusters,Improvement
nchammas,2015/03/10 10:58:59,2015/03/05 20:00:16,nchammas,53923,Generalize spark-ec2's ability to download libraries from PyPI,Improvement
tvas,2015/03/09 14:17:48,2015/03/05 17:04:43,tvas,76385,Instance types can be mislabeled when re-starting cluster with default arguments,Bug
cc,2015/03/10 11:06:36,2015/03/05 11:20:58,cc,85538,make tachyon version configurable in the ec2 script,New Feature
,2015/03/11 08:13:00,2015/03/05 09:19:00,DoingDone9,82440,"	Deltele repeated TOKEN. ""TOK_CREATEFUNCTION"" has existed at Line 84;",Improvement
,2015/03/21 21:53:15,2015/03/05 08:22:50,viirya,48625,Relocate logDebug to correct location in ResolveSortReferences,Bug
srowen,2015/03/05 19:32:40,2015/03/05 07:46:53,pwendell,42347,spark-parent pom needs to be published for both 2.10 and 2.11,Bug
,2015/03/05 08:00:15,2015/03/05 07:46:45,DoingDone9,810,"Support  ""SHOW COMPACTIONS;""",Improvement
,2015/03/23 03:16:49,2015/03/05 07:27:20,jhu,71369,Error logged into log4j when use the HiveMetastoreCatalog::tableExists,Improvement
vinodkc,2015/03/06 14:44:39,2015/03/05 06:04:37,vinodkc,31202,Remove unused imports from java classes ,Improvement
yuhaoyan,2015/03/11 02:09:16,2015/03/05 05:16:12,yuhaoyan,75184,Add note in LDA example to remind possible coalesce ,Improvement
joshrosen,2015/03/05 20:04:25,2015/03/05 00:58:31,yhuai,68754,Executor log links are using internal addresses in EC2; display `:0` when ephemeral ports are used,Bug
marmbrus,2015/03/04 22:23:51,2015/03/04 22:21:13,marmbrus,158,NoClassDefFoundError when launching spark shell w/o hive,Bug
marmbrus,2015/03/05 01:23:04,2015/03/04 22:19:51,andrewor14,10993,No class def found for HiveConf in Spark shell,Bug
srowen,2015/03/04 23:26:40,2015/03/04 21:28:46,rnowling,7074,Previous Commit Broke BroadcastTest,Bug
,2015/03/05 22:50:04,2015/03/04 20:21:23,yhuai,8921,jsonFile should be backed by the data source API,Task
,2015/03/06 12:58:37,2015/03/04 14:27:50,viirya,81047,Distinguish between inprogress and abnormal event log history,Improvement
,2015/03/05 14:57:13,2015/03/04 12:27:40,MechCoder,8973,Move private method boost in GradientBoostedTrees from Object to Class,Improvement
,2015/03/04 12:02:06,2015/03/04 11:42:23,SuYan,1183,Unroll unsuccessful memory_and_disk level block should release reserved unroll memory after put success in disk,Bug
adrian-wang,2015/03/05 12:16:20,2015/03/04 05:37:45,adrian-wang,23915,intellij import from maven cannot debug sparksqlclidriver,Improvement
,2015/03/04 05:16:07,2015/03/04 02:19:17,yuu.ishikawa@gmail.com,10610,Validate indices before constructing a SparseVector,Bug
lian cheng,2015/03/05 04:53:35,2015/03/04 00:43:28,lian cheng,15007,Spark SQL CLI doesn't work when compiled against Hive 12 with SBT because of runtime incompatibility issues caused by Guava 15,Bug
lian cheng,2015/03/14 16:53:14,2015/03/04 00:33:37,lian cheng,58777,Move JDBC data source integration tests to the Spark integration tests project,Improvement
,2015/03/21 20:28:21,2015/03/03 23:32:17,yhuai,75364,Support more datatype in SqlParser,Improvement
tleftwich,2015/03/04 21:03:15,2015/03/03 22:29:49,tleftwich,81206,When in cluster mode using ADD JAR with a hdfs:// sourced jar will fail,Bug
,2015/03/09 23:04:06,2015/03/03 19:52:23,nravi,11503,"10-12% Performance regression with ""finalize""",Bug
dbtsai,2015/03/06 02:56:11,2015/03/03 19:15:02,dbtsai,27669,Upgrade Breeze to 0.11 to fix convergence bug,Bug
cloud_fan,2015/03/03 12:12:59,2015/03/03 10:37:09,cloud_fan,5750,Enhance the `toArray` method in `SizeTrackingVector`,Improvement
lian cheng,2015/03/04 11:41:15,2015/03/03 09:06:41,lian cheng,9274,"Docker client library introduces Guava 17.0, which causes runtime binary incompatibilities",Bug
,2015/03/05 09:23:01,2015/03/03 08:16:09,Xia Hu,4012,No checks of illegal hostname when runing spark on yarn.,Bug
,2015/03/04 12:27:09,2015/03/03 08:03:38,viirya,15811,Fix wrong datatype for casting FloatType and default LongType value in defaultPrimitive,Bug
andrewor14,2015/03/13 18:34:00,2015/03/03 06:24:46,andrewor14,43754,SparkContext#stop is not idempotent,Bug
andrewor14,2015/03/26 00:47:13,2015/03/03 06:21:02,andrewor14,66371,Context cleaner race condition across SparkContexts,Bug
,2015/03/03 10:23:34,2015/03/03 05:17:50,cnstar9988,18344,Spark 1.3.0 (RC1) missing some source files in sql.api.java,Bug
tdas,2015/03/03 02:41:50,2015/03/03 01:06:51,tdas,5699,Kafka API not visible in Python API docs,Bug
,2015/03/03 09:54:03,2015/03/03 00:25:37,jlshin,34106,Custom Loss function,Question
vlyubin,2015/03/24 00:00:46,2015/03/03 00:00:57,vlyubin,86389,Support jdbc connection properties in OPTIONS part of the query,Improvement
mengxr,2015/03/03 01:14:51,2015/03/02 22:35:07,josephkb,9584,Python DataFrame type inference for LabeledPoint gets wrong type,Bug
josephkb,2015/03/03 09:07:26,2015/03/02 22:27:14,josephkb,38412,DecisionTree.save uses too much Java heap space for default spark shell settings,Bug
CodingCat,2015/03/03 10:33:42,2015/03/02 21:23:32,CodingCat,47410,making package name of deploy.worker.CommandUtils and deploy.CommandUtilsSuite consistent,Improvement
marmbrus,2015/03/03 00:12:13,2015/03/02 20:58:58,marmbrus,11595,Explode on nested field fails,Bug
kennethmyers,2015/03/02 17:27:06,2015/03/02 16:52:05,kennethmyers,2101,Fixed usage string in documentation for kafka_wordcount.py example,Documentation
,2015/03/02 16:38:41,2015/03/02 16:26:06,kennethmyers,755,Broken URL on Spark Streaming + Kafka Integration Guide,Documentation
liyezhang556520,2015/03/04 12:29:29,2015/03/02 07:35:02,liyezhang556520,17667,event log file ends with .inprogress should be able to display on webUI for standalone mode,Bug
,2015/03/06 13:15:11,2015/03/02 03:34:39,shenhong,34832,spark SQL shuffle OOM,Improvement
lianhuiwang,2015/03/02 09:07:55,2015/03/02 03:03:09,lianhuiwang,21886,remove unused class to import in EdgeRDDImpl,Improvement
mengxr,2015/03/03 06:27:47,2015/03/01 19:09:16,mengxr,40711,Support model save/load in Python's tree models,Sub-task
yinxusen,2015/03/20 18:54:20,2015/03/01 19:08:13,mengxr,85567,Support model save/load in Python's naive Bayes,Sub-task
yanboliang,2015/03/20 18:44:34,2015/03/01 19:07:43,mengxr,85011,Support model save/load in Python's linear models,Sub-task
mengxr,2015/03/05 19:50:19,2015/03/01 19:01:00,mengxr,2959,Add BinaryClassificationMetrics in PySpark/MLlib,Sub-task
kayousterhout,2015/03/24 23:27:06,2015/03/01 02:20:47,kayousterhout,75979,UI is malformed when tasks fetch remote results,Bug
levkhomich,2015/03/13 18:17:49,2015/03/01 01:32:12,pwendell,60337,Provide actionable exception if Kryo buffer is not large enough,Improvement
tedyu@apache.org,2015/03/17 08:02:05,2015/02/28 21:15:05,yuzhihong@gmail.com,38820,Increase default value for memory overhead,Improvement
,2015/03/05 07:23:32,2015/02/28 19:31:37,nchammas,42715,spark-shell broken on Windows,Bug
MechCoder,2015/03/02 00:29:37,2015/02/28 19:13:17,MechCoder,18980,Make Python API example consistent in NaiveBayes,Documentation
,2015/03/03 00:18:25,2015/02/28 19:13:11,kayousterhout,18314,SparkSQL should fail gracefully when input data format doesn't match expectations,Bug
yanboliang,2015/03/02 18:17:57,2015/02/28 08:34:20,yanboliang,35017,"LogisticRegressionWithLBFGS in PySpark was assigned wrong ""regType"" parameter",Bug
joshrosen,2015/03/26 00:40:11,2015/02/28 07:37:26,joshrosen,61365,Use index to speed up StatusTracker.getJobIdsForGroup(),Improvement
,2015/02/28 18:33:09,2015/02/28 06:59:48,liyezhang556520,41601,create event log directory automatically if not exists,Improvement
,2015/03/16 20:12:02,2015/02/28 06:51:59,zhichao-li,48003,Multiple spark streaming tabs on UI when reuse the same sparkcontext,Bug
joshrosen,2015/03/01 06:53:13,2015/02/28 05:12:38,joshrosen,6035,"After SPARK-3885, some tasks' accumulator updates may be lost",Bug
vanzin,2015/03/01 11:11:52,2015/02/28 02:45:43,vanzin,30369,Assembly doesn't include pyspark sql files,Bug
,2015/03/02 14:45:35,2015/02/28 01:42:13,yhuai,47002,Need to refresh metastore cache after append data in CreateMetastoreDataSourceAsSelect,Bug
vanzin,2015/02/28 06:44:39,2015/02/27 23:05:35,vanzin,27544,Yarn Shuffle Service jar packages too many dependencies,Bug
andrewor14,2015/03/03 00:34:59,2015/02/27 20:10:34,kayousterhout,15865,Metadata in event log makes it very difficult for external libraries to parse event log,Bug
michael.griffiths,2015/03/25 22:08:50,2015/02/27 18:04:35,michael.griffiths,14655,MLlib doesn't pass mvn scalastyle check due to UTF chars in LDAModel.scala,Bug
,2015/03/06 12:45:53,2015/02/27 11:26:13,jsand,4780,HashMap.merged - Null Pointer Exception,Bug
zsxwing,2015/02/27 13:34:15,2015/02/27 09:53:53,zsxwing,13222,Add volatile to ApplicationMaster.reporterThread and ApplicationMaster.allocator,Bug
zsxwing,2015/02/27 13:33:08,2015/02/27 09:14:15,zsxwing,15533,Log the error for the EXIT_EXCEPTION_USER_CLASS exit code,Improvement
,2015/02/27 09:37:22,2015/02/27 08:32:14,deeppradhan,3908,All Pairs Shortest Paths in pure Spark without using GraphX,New Feature
davies,2015/02/28 04:09:07,2015/02/27 07:28:43,davies,74424,Memory leak in pyspark sql due to incorrect equality check,Bug
marmbrus,2015/03/24 19:29:07,2015/02/27 07:28:12,spirom,43255,SQL UDF returning object of case class; regression from 1.2.0,Bug
mengxr,2015/03/02 00:27:32,2015/02/27 06:40:35,mengxr,64017,Support model save/load in Python's ALS.,Sub-task
,2015/03/02 15:19:37,2015/02/27 05:20:43,yhuai,35934,"In JSON schema inference, we should always set containsNull of an ArrayType to true",Bug
vanzin,2015/03/09 18:57:33,2015/02/27 03:38:32,mridulm80,55141,Spark on YARN does not work --executor-cores is specified,Bug
,2015/03/23 01:54:42,2015/02/27 02:15:36,cnstar9988,85146,HiveThriftServer2 may expose Inheritable methods,Improvement
andrewor14,2015/03/03 00:37:07,2015/02/27 00:55:06,andrewor14,85321,SparkConf.translateConfKey should not translate on set,Bug
tedyu@apache.org,2015/02/26 23:28:26,2015/02/26 20:56:49,yuzhihong@gmail.com,9097,RecordWriter should be checked against null in PairRDDFunctions#saveAsNewAPIHadoopDataset,Bug
srowen,2015/03/17 06:59:04,2015/02/26 19:50:52,mcheah,40092,RDD.aggregate() should not use the closure serializer on the zero value,Bug
